text,category
thanks for causing us to miss our connection and now a 6hour delay #flydeltanexttime,Flight Issue
lost my bags and there was a flight from Chi to Eri that landed over 1.5 hrs ago...yet still have zero updates?? #UnitedAirlinesSux,Luggage Issue
the bag is in a state that I didn't travel to and the airports don't fly to each other. Looks like it'll never show,Luggage Issue
stay more than 24h traveling ans sleeping on the airports floor,Flight Issue
seriously?   UA 806.  Delayed because of the copilot isn't here?  For 1.5 hours and he is only flying from Raleigh? Disappointing,Flight Issue
", we've been waiting for over an hour for our luggage- what gives?",Luggage Issue
I have to go back home! I have to use what the company has available. But it's unfair to stay more than 24 h traveling,Flight Issue
"flight delayed...again...every time. ""Maintenance issues""",Flight Issue
I should be fine. They automatically changed my connecting flight for me so I wouldn't miss it. A+ work.,Satisfied
on line baggage system complete rubbish. bag missing 2 days. No meaningful information.,Luggage Issue
thanks. Just was able to do it on the app myself. Still not customer service to be seen in YYZ,Flight Issue
"thx off the response, finally got through the 45 min wait and talked to someone.",Satisfied
flying to las vegas out of Chicago flight is Late Flight and no announcement has been made,Flight Issue
I believe. It was cancelleded yesterday I guess. Goes back to no notification from United about cancelledlation,Flight Issue
"Thx, just DM'd. Conf #'s MQXC64 &amp; MPWNC2. Any help appreciated",Satisfied
"Delayed 7 hrs flight 5721 PIT/IAD, finally board the plane, sit half hour &amp; crew is at their hrs limit &amp; we deplane. Unacceptable.",Flight Issue
pls stop sending texts every 15mins saying my flight is delayed another 15mins-It's been 3hrs. I usually defend u but this is lame..,Flight Issue
united flight UA3774 after two delays just cancelled no explanation &amp; no more flights to Norfolk that aren't booked. Renting a car.,Flight Issue
50 minute wait times to help with a cancelled flight?? Help a guy out?,Flight Issue
"Your baggage tracking system is worthless! It tells me nothing about where the bag is, much less what your plans are to get it to me",Luggage Issue
thank you for letting me down.My luggage is still in Denver but I'm in Phl. #neveragain #flyingwithUS #disappointed #lostacustomer,Luggage Issue
flight UA3774 after two delays. just cancelled and no more flights to Norfolk that aren't booked. Renting a car.,Flight Issue
"thanks for having no one to pilot my last two flights, and all but stranding me in Houston tonight.  Airlines are the absolute worst",Flight Issue
"missing my amazing us bank work conference, not ok.  What do I do now?????",Flight Issue
"... frozen lines on flight, not continuing due to 'passenger comfort'? Not ok, sat on the plane as long as a flight to Vegas would !",Flight Issue
you left my bag in Houston last night. It's freezing cold in Memphis. Any idea on when I will see it? Off again tomorrow.,Luggage Issue
this is why I fly  ... Never have any issues,Satisfied
great flight into PVD. Smallest plane I have ever been on and smoothest landing ever!,Satisfied
"says we had a weather delay in #YXE this morning. The ""weather"" didn't affect any other airline. #UA6136 http://t.co/4JdvK8tCqx",Flight Issue
"It was cancelled, none of the passengers were notified. Complete violation of travelers' rights.",Flight Issue
thanks for ruined my vacation for having poorly maintained aircrafts that can’t fly safely out of STT. #UA1481 #cancelledflight,Flight Issue
"Waiting for 3494 EWR-ORD, delayed 47 mins. Might miss 5491 ORD-YWG at 6pm CT. Any room on 5644 ORD-YWG in case I miss connex?",Flight Issue
"- well, now finally on board hopefully we take off this time and quickly. Well over an hour delay!!",Flight Issue
I missed my connection already. Then I missed the next flight they put me on.  Now I'm going to LAX instead of Hawaii.  :(,Flight Issue
", American never had my bags apparently. United never switched them over. Had to go back to United Baggage Service.",Luggage Issue
unacceptable. 403 was 90 min Late Flight for a 'missing screw' our flight to Tucson left before we even landed,Flight Issue
"CMH gate staff a disaster..#3345 overbooked, no volunteers, no boarding, 20 min Late Flight trying to figure out issue #bringbackrealstaff",Flight Issue
"Waiting half an hour for my checked bag at EWR (&amp; that was Priority); disappointing, usually you guys are good.",Luggage Issue
the emails/calls over the past months about flight changes were helpful wish you would have sent them on the cancelledlation yesterday,Flight Issue
"Thanks so much , my passport was recovered",Satisfied
"- tick, tock, tick, tock, it is rapidly approaching the next dream departure of 1:45pm. When is the next fantasy departure time??",Flight Issue
", no. Re-booked with American and United said they'd transfer our bags to them.",Luggage Issue
I am appalled at your lack of communication during our awful journey on 2/21 EWR to BOS. 4 hr delays need to be explained better.,Flight Issue
"no consistency, #Denver agents say no standby with checked baggage citing FAA. Your website policy says otherwise. #time2switch",Luggage Issue
Thanks but why did this occur? You guys had 3 hours extra to get my bag on due to your delay. So that's 7 hours you had. #fail!,Luggage Issue
so many delays today...What's up with that? Hoping my 12:26pm flight boards soon. #United #premier1K,Flight Issue
"delayed because of salt on the floor from previous passengers? The 180 of just just want to fly, don't care about our shoes. Ua649",Flight Issue
thanks. Just got on a couple of minutes ago. Great service on flight 479 btw. Please pass it to the team on that flight.,Satisfied
My bag is lost and I can't get ahold of anyone that can help,Luggage Issue
Then you delete my return ticket to Europe and blame me for the now show? This airline is a joke. 3 times this happened now.3 times!,Flight Issue
your agents (and service) on my weekend trip have been AMAZING!!! Thank you!!,Satisfied
"ah, so that's where the funds to fix the broken plane upon which I sat for 4 hrs on IAH runway went.",Flight Issue
cannot direct message you you do not follow us. I want my luggage.  Please hep,Luggage Issue
we rebooked and disappointed we have to wait a whole day to start our vacation. At these fares United should have top notch service,Flight Issue
I assume that would be for the other 300 people who have been let down by United? What's worse is plane is here but crew can't fly!!,Flight Issue
will do. Just need to get CVG.... and my bag too. Thanks,Satisfied
Hi there bag ID is UA6016053916 can you update me and explain why is occurred when I arrived 4 hours before flight!,Luggage Issue
"hi yes need a free hotel stay in Honalulu due to 4 hour delayUA53, since we will miss our second flight to Kauai",Flight Issue
is screwing with my flights again at CAE? Why do you bother having flights here if they never leave on time or get cancelleded?,Flight Issue
"we got it, thanks.",Satisfied
The so below skilled staff and inadequate system just deleted my return from Houston to Norway. Shoulder shrugging is all you do..,Flight Issue
"This is probably the least dependable airline in the Western Hemisphere.  does not belong in Star Alliance, but SkyTeam",Satisfied
amazing hospitality and helpfulness from Anthony Lastella. Great staff 👏👏👏✈️ def flying #united again.,Satisfied
this 2 hr delay is a vacation buzzkill,Flight Issue
"just touched down in Miami - not too far off , Nicely done united 👍",Satisfied
"it was very comfortable, now waiting for our luggage",Satisfied
"once again you guys didn't let me down, a four hour delay to Honolulu from Houston, thanks for the train wreck of issues now coming",Flight Issue
thank you,Satisfied
finally got through and they were very helpful. Appreciate it!,Satisfied
not my luggage,Luggage Issue
thanks for the effort. I can get the earliest. Though I will make a complaint for a refund as I am losing one business day tomorrow,Satisfied
THANK YOU!,Satisfied
who authors this fiction? I just heard on radio we don't even have a jetway secured yet #UA5037 #CMH http://t.co/T78k7aBtWF,Flight Issue
so? Found anything or just showing off? You do realise that the morning flight that you cancelled was more pricey than the evening?,Flight Issue
oh I did. Was still lost. Your tracking system stinks as does the delivery system.,Luggage Issue
feeling like a true united customer stuck.on the tarmac in dc for over 2 hrs. UNITEDFAIL,Flight Issue
leadership counts. landed at 11:15 last night-deplaned at 12:40. 45 minutes of that was waiting for the jetway. Inexcusable,Flight Issue
you can't say the flight is pulled in and departs in 2 mins if boarding hasn't even started! http://t.co/2IKbP8gxWi,Flight Issue
I understand that but why should I pay to change if it was a problem with your plane. If it was weather I would understand,Flight Issue
30 hours Late Flightr still no answers stuck in Houston. Keep getting put on phantom flights that never apeared. #BadCustomerService,Flight Issue
you guys are horrible! First we get stuck in the snow for a hr in ewr now sitting in cmh saying it could be 30min for a gate,Flight Issue
"the hotel you sent us to wouldnt take the voucher. Our flight was delayed, then cancelled, then delayed again. 32 hours and counting",Flight Issue
DM'd you 4 hrs ago at your request. No response to be found .... just like my bag.,Luggage Issue
worked out after all. Thanks for your immediate reply!!,Satisfied
"as if a 4 hour maintenance delay wasn't enuf, u charge me $25/bag as a global service platinum mbr. Get ur shit together",Flight Issue
last week we also had maintenance issues and a flat tire. Another flight last week was cancelleded. Your track record is the WORST!,Flight Issue
you should spend all of the money you take for our tickets and update your planes! Each flight has a maintenance issue!!!,Flight Issue
any chance you could help rebook?? My flight cancelled,Flight Issue
you really need a better system for handling cancelled flights http://t.co/3uBCoAsyws,Flight Issue
give me a direct number I can call regarding my lost baggage immediately.,Luggage Issue
involuntarily bumped your passenger and can't guarantee them another flight for three days!,Flight Issue
"I did already rebook, and now I will miss my first appointments in London tomorrow morning. Thanks for ruining my trip - AGAIN!",Flight Issue
". Our newest delay, right now http://t.co/96fTLZWtvO",Flight Issue
"Nicole at Quito airport took great care of us this week. Handled lost baggage, seat changes. Very professional/nice. Pat her back.",Satisfied
"right as we think we will take off, we stop to get de-iced. Why wasn't this done when the planes were sitting out all night?",Flight Issue
Delayed more and more these days. MCO &gt; IAD. Fingers crossed I make my connection home to Albany. #united1K,Flight Issue
thanks for leaving our 3 year old in his own row flight 360 LAX-IAD,Satisfied
you guys SUCK! Another cancelleded flight! Every flight with you has an issue!,Flight Issue
after 6 hour plus delay from #WashingtonDC finally on flight to #Edinburgh all very tired,Flight Issue
thank you,Satisfied
": flight delayed by 24 hours, lost my wallet, have no money to eat or sleep yet your representatives will not help.#unitedsucks",Flight Issue
they let us board again but will we fly this time? Who knows! #shouldhaveflowndelta,Flight Issue
why don't you de-ice while the plane sits there with no one in it for 2 hours ?? Or we could just delay :/,Flight Issue
Very quick! TY. :  I am sorry to hear this. Can you please follow and DM me the details of what transpired? ^JH,Satisfied
if you lost my belongings then BE HONEST!,Luggage Issue
Back at the Denver airport and ready for round two today. Ready to get home!,Flight Issue
lost my luggage from ATL to  hdn luggage in denver and said  will deliver my luggage to HDN airport claim# hdndl11785,Luggage Issue
If United loses your baggage they will get it to the airport in the country your in and then it disappears!,Luggage Issue
"Thank you for wasting my time &amp; money. Not only will I now arrive 5 hours Late Flight to my destination, but...",Flight Issue
DO NOT FLY UNITED WITH CHECKED BAGGAGE! It will never find you!,Luggage Issue
why would you overnight my bag Wed to an unknown location with a courier company you apparently can't contact!,Luggage Issue
I am still in the airport waiting for my flight.,Flight Issue
your airline has been telling me that my luggage is one hour away from my destination for 5 days!,Luggage Issue
now there is no one to operate the ramp to let us out of the plane in IAH...wow..just wow,Flight Issue
just did! Thank you!,Satisfied
thank you!,Satisfied
"cancelleds your flight then sends you an email saying ""think about your next flight..."" #customer #outrage http://t.co/KkwiwI97A4",Flight Issue
- you rebooked me to UA1764 after UA 3883 was cancelled. I paid for first class ticket - but new seat is 38E. Can you please fix!,Flight Issue
"I would understand if weather was the issue, but bc of airline maintenance I had to sleep on an airport floor and lose an entire day",Flight Issue
I am - thank you!,Satisfied
flight 403 is delayed 40 min bc a missing screw and were in danger of missing flight 6491,Flight Issue
"no, ua 6 finally cancelleded after hrs of delay. The replacement flight leaves Late FlightR than this one was scheduled tomorrow. Not cool.",Flight Issue
"help me, united! I paid for economy plus on a flight that was changed BC of delay. Will I be automatically refunded?",Flight Issue
Thanks.    This one was delayed an hour and a half prior to scheduled departure.,Flight Issue
lost bag on next flight. Didn't have time to load during the 5 hour delay?Consequence from platinum to gold,Luggage Issue
"A day Late Flightr, one delayed &amp; one cancelled flight, I'm at a gate with no seat assign. Lots of standby ppl also waiting.",Flight Issue
can you not get the first flight of the day off the ground on time?   #1531.  Let's go.......,Flight Issue
thank you for flying me out of the mess at IAD and out to San Diego. http://t.co/tlPBaupIk5,Satisfied
flight #1 no luck on #standby,Flight Issue
"Thank you but the person in Houston could only get me a flight routing through Newark, NJ and I'm going to SFO",Satisfied
Conference begins in 3 hours. Up all night due to delays and still waiting to talk to someone about lost luggage.,Flight Issue
My bag reference ID number is IND43728M. Thanks for looking at it.,Satisfied
one lady helping the 12 of us with luggage,Satisfied
flighted delayed for hours. 10pm arrival to Vegas is now 4am. Did you seriously lose my luggage???,Flight Issue
met with agent. All taken care of. Thx for reply,Satisfied
I still like you united airlines,Satisfied
"2100$ ticket,12h biz trvl,no wifi.Missed con flt,next one#24h,missed meeting,7$ food voucher,hotel chkout#12,flt#5,no wifi#hotel",Flight Issue
"still missing my luggage, was promised someone would call, no call so far, flight from Shanghai to DC with connecting flight in ORD",Luggage Issue
you cancelled my flight without notification?,Flight Issue
"since I have an international connection at 9am, I'm hoping for the same thing!",Flight Issue
it is too Late Flight for reFlight Booking Problems now - it is morning already and I no longer need a hotel room,Flight Issue
you have cancelled my flight UA922 for aircrft maintenance. I'm delayed 10 hours now. What's my refund options?,Flight Issue
where is my bag?? I'm in Mexico about to go build a house &amp; my suitcase never got on my flight from CLE w me. I need it. SAN68059M,Luggage Issue
I know that. Thanks for the standard reply.,Luggage Issue
thanks for the epic service on 863- always a pleasure- outstanding crew http://t.co/trqlpeinzW,Satisfied
"hey, it's 4am, guess what I'm doing? Not sleeping! Why? Cause you care so little about your customers you let them sleep in airports",Flight Issue
DUH and done. bag whereabouts unknown. Greeeaat,Luggage Issue
"thanks for letting me sleep at DIA to ensure you ruin as much of my vacation as possible. Wait, no, fuck you. #unitedairlinessucks",Flight Issue
Thanks  for writing back. To assist you can return the bag you lost &amp; clean up the feces sprinkled in your bathroom. Too much to ask?,Luggage Issue
Every time my united flight got delayed. this is a big frustration.,Flight Issue
". I wouldn't describe feces sprinkled in your bathroom as an inconvenience. To help, you might find my baggage you lost &amp; return it.",Luggage Issue
"is that all that matters, not the fact that we're at a different destination, we were put through a tremendous amount of stress,",Luggage Issue
an inconvenience is a weather delay. Your pilot deciding to waste enough time so the FAA wouldn't let him fly is negligence.,Flight Issue
- you sure missed the mark on tonight's redeye from LAX to Chicago. What a mess! You can do better!,Flight Issue
after 443min of avoidable non-weather delays that #Appreciation link better be giving out #GoldenTickets,Flight Issue
where is our luggage,Luggage Issue
we just left  (delayed). http://t.co/XzBAjMiekx,Flight Issue
Life goal: complete ✔️,Satisfied
flight cancelled to Denver service agent offered me a non jet salt lake to Denver or red eye out of Atlanta then hung up on me.,Flight Issue
"your unhelpful team? Sure I did. I'm in Bangkok, my bag in Chicago. Are u going to pay for my accommodation s until my bag arrives??",Luggage Issue
Just sent a DM. Thank you for the acknowledgment.,Satisfied
I'm a first time solo female traveller and it's pretty scary being in a foreign place not knowing where your belongings are...,Luggage Issue
"I am. Who knows where my bags are. Do I just wait around and hope they arrive? No one has answers, I have plans and no answers....",Luggage Issue
somehow I knew that you'd wait until I was airborne to respond. #hacks #jokers #neveragain.,Flight Issue
"more people stranded cause you suck. Better yet, you weasel out of Flight Booking Problems rooms for people claiming weather http://t.co/Flcnnn2USD",Flight Issue
look at all the delta flights that landed while your pilots claimed they couldn't fly 6232 to JAC. http://t.co/6Kp4m0R1f7,Flight Issue
thank you! Much appreciation for your help.,Satisfied
- not only 2 hour delay - double booked seat nit parked at wrong gate - incompetence at its finest - been waiting  for over 1 hr,Flight Issue
look at the people tryn to sleep in the airport due to your shitty company not comping rooms after cxl flight http://t.co/o1u96Xc3bo,Flight Issue
25 minute hold is 1 hr. 25 min.,Flight Issue
how can u not have gate ready or gate agent for going on hour two,Flight Issue
"not a good day to fly u, two delayed flights still on plane at Ewr waiting over 1,5 hours for gate get to gate no gate agent.",Flight Issue
"my luggage is set to go to DCA however, I am rerouted to Dulles. Currently in NOLO however bags are in Houston. Can you fix this?",Luggage Issue
such a relaxing space for a drink before my flight! (at  Global First Lounge) https://t.co/j4cj0lrF2d http://t.co/dTLGUQ1kAk,Satisfied
i will never fly with you again. i went on vacation this week and you lost my bags both ways. now i have no clothes. thankyou,Luggage Issue
flight ua90 is taking off now after 1750 was delayed over 4 hrs 30 passengers to miss their flight to tel aviv,Flight Issue
"considering I'm now stuck in Newark with virtually sleep in 30+ hours, I doubt it :/ hope car rentals are available",Flight Issue
What a really GREAT &amp; FLATTERING story about you! You should be very proud :) http://t.co/7br5t5QCXk (via ),Satisfied
do you expect to cancelled flights out of  tomorrow morning given the storm?,Flight Issue
the drunk guy you threw out of flight UA936 4hrs ago is better off than the rest of us held up for 5hrs in the plane without food.,Flight Issue
"sitting in Denver airport waiting for a plane to be refueled. For an hour and a half! Hurry the fuck up United, you fucking retards",Flight Issue
we've been seating for 5hrs inside flight UA936 at #IAD delayed. We've only been offered water &amp; cookies in business class. #failed,Flight Issue
"your app says flight UA936 to #ZRH departed 2:45hrs Late Flight, but 5 hours Late Flightr we are still seating inside the plane in #IAD.  #failed",Flight Issue
not completely.  Our flight was changed in July but we never received notification.,Flight Issue
Wife and I have two new destinations and I'm stuck in DC until Monday with no bags,Flight Issue
no I don't. Spoke with baggage contact at 1-800 number. Said they will try to get bags to stay at IAD for pick up tmrw,Luggage Issue
so is that two seats avail so far for us.,Satisfied
"flight UA1459 sitting at newark waiting for a gate, seriously??? #threehoursLate Flight",Flight Issue
"boarding was decent, 3 useless agents that don't speak English (after 2.5hrs of hold) 6hrs of mech delay not so much",Flight Issue
flight was cancelleded after the last opportunity to rebook us on other flights this evening passed.,Flight Issue
possibly the worst airlineGave them three chances Second time in 2 weeks a flight has been delayed and or cancelled due to mechanics,Flight Issue
Did I mention that I was ON THE PLANE so is my luggage. My luggage that I'm not going to have for how many days.,Luggage Issue
"- flight cancelled. 4 hrs at airport to book a new one for $95. Just got two invoices for the flight, each for approx $300. Really?!",Flight Issue
Pay for my hotel.... I'm a broke student #help,Flight Issue
all 4 of us are on standby in Houston tomorrow for flights to Calgary. If you could get us on one or two of those that would help,Flight Issue
it was eventually explained that weather conditions too extreme to get luggage off planes. Will be sent on. But I won't be for days!,Luggage Issue
732 from Denver. We just boarded! Fingers crossed we get into the air!!!,Satisfied
How does that make a flight takeoff on time? And regardless it makes me Late Flight because now I have to wait for my bag at baggage claim.,Flight Issue
it's been over 3 hours...at what point do you let people off of the plane?,Flight Issue
nope I gave up - maybe they'll deliver it,Luggage Issue
Thanks for the upgrade- please try to get my company to approve more business class travel.,Satisfied
more and more delays! No CS help at all! No notifications!,Flight Issue
and waiting,Flight Issue
hoping there is a spare a/c for 1171 tomorrow!  Have a ship to board!  The sched aircraft is delayed from previous flts.,Flight Issue
Hubby made it by the skin of his teeth!   :),Satisfied
the incompetence is truly stunning at this point. 4 hours on a plane for a 1.75 hour nonstop flight.,Flight Issue
"1st u delay my flight for mechanical failure,then 2 hrs on the runway, &amp; 13 hrs Late Flightr I'm still here with a lost bag &amp; no resolution",Luggage Issue
still waiting,Flight Issue
"...lies lies lies....still sitting at the gate, have not moved an inch http://t.co/LulGnwEfFH",Flight Issue
your baggage person told me to go through  - they're handling my connecting flight.,Luggage Issue
thank you! Excited to be working with you guys!,Satisfied
. Let us know when you find everyone's luggage. Thanks. #UnitedAirlines,Luggage Issue
Nope! I'm on UA 174 that was supposed to leave at 6:47 but are still at the gate. Apparently we are about to pull back and de-ice.,Flight Issue
"Still do not have my bag, it's in the CLT airport. Was originally told I would have it by 2pm.",Luggage Issue
just texted me to say flight is delayed due to air traffic control. BS! They pulled the plane in Late Flight #lies,Flight Issue
website says my flight is on time. It leaves in 15 min and nobody has boarded yet. #pathetic #needtobehonest,Flight Issue
From the air: Another missed cnxn 2day. ATC went on strike in Belize this AM. Now family &amp; I miss cnxn in EWR. Please see my DMs.,Flight Issue
we are the airline that has cancelled flights TOMORROW to the NYC area,Flight Issue
having to pay for a hotel room in Cleveland because of last minute cancelled connecting flight. Booked through united..Unimpressed!,Flight Issue
Flight has been delayed for another hour so only have 24 mins to transit at LAX... Extremely unlikely I will make it!,Flight Issue
4595. We are now going back to the gate b/c of something overheating after sitting out here for 3+ hours.Love United but this stinks,Flight Issue
"thank you for leaving my bag in houston! despite what your system says, i was definitely on the flight!",Luggage Issue
Reply to  - Doesn't do any good to check outlets preflight when moved to different equipment after boarding due to malfunction.,Flight Issue
I was rebooked thru SFO but arrive 9 hours Late Flight and miss activities. I asked to fly today with stop over. Was told I'd have to pay.,Flight Issue
tonight you made this Fred Flintstone happy with an upgrade to 1st class. http://t.co/gKgKZLAwpR,Satisfied
that's great! pls let me know when u start!,Satisfied
I can understand that but to not have another plane available when there is a full day till departure is unacceptable. Phoenix?,Flight Issue
thanks ... not sure arranged move to the earlier flight but I'm at the gate with a seat assignment.  Super nice agent at gate C4 ORD,Satisfied
No customer service rep could confirm where my bag was &amp; each gave me different info. Ruined 2 events I had today. #disappointed,Luggage Issue
I see. Thanks for explaining.,Satisfied
"After an hour+ wait, my issue is resolved. I did contact customer service to comment on the wait time. Thanks for contacting me.",Satisfied
"Yes, they did. Must have fixed the broken ramp. Thanks!",Satisfied
Flight:UA1750 is basically a prison on the runway @ SFO 6delays 4hrs of sitting no water no answers. reminded y I hate this airline,Flight Issue
thanks,Satisfied
says   is the final carrier . Us air doesnt have it. I want my bag!!! Not a claim not an im  sorry. I want my clothes!!,Luggage Issue
most terrible flight experience happening to everyone right now on Flight:UA1750 6 delays 4 hrs total missed all my flights now thnx,Flight Issue
one of you has my bag! Claim 4016688561 and i want it in MGA!!!! Now!!!,Luggage Issue
A friend traveled via UA1470 today and never got their luggage. What recourse does the person have? Buy clothes and get reimbursed?,Luggage Issue
my flight is Late Flight due to mechanical issues 3 of 4 flights in past 10 days!,Flight Issue
its 2015. How can my flight from a major city already be cancelled 24 hours before departure due to weather??  Backup planes??,Flight Issue
Kurt and the crew on UA1745 were amazing today. They made my son's birthday with their kindness. Hope to fly with them again soon!,Satisfied
"2/2 Instead, had to wait on plane from Ottawa that never came. Now I'm back home and have to try again tomorrow. Suitcase still lost",Flight Issue
u cancelleded my flight from IAD to JAX. Was supposed to use plane from BNA but u used that plane for another destination instead. 1/2,Flight Issue
friends been sitting in Houston since 7am flight cancelleded.Still don't have any answers. #BadCustomerService  #$10voucherwhatajoke,Flight Issue
the nightmare continues... http://t.co/TsvgbrL15f,Flight Issue
"as a million miler with UA, and flying almost every week I observe gate and flight crews committed to good operations",Satisfied
"thanks, we did.",Satisfied
thank you for compensating us for our 4 lost bags. We will fly with you again! #UnitedAirlines,Satisfied
we are sitting on the runway for 2 hours! It is ridiculous!!,Flight Issue
". Please get me an economy plus seat. Awful day of 2 cancelleded flights, after lots of planning.",Flight Issue
I JUST ASKED MY BOYFRIEND TO PROM OVER THE LOUDSPEAKER ON FLIGHT 494 HE SAID YES!!!! BEST DAY EVER!!! THANK U SO MUCH!!!!!!,Satisfied
So appreciated!,Satisfied
Hmmm...seems like this could be something to be changed to be more #flyerfriendly.,Satisfied
No problem just follow me back so I can! Thank you!,Satisfied
my husband is supposed to fly RDU to IAD then IAD to FRA leaving in 2 hours. You cancelleded his flight and there's a 1hr wait on phone,Flight Issue
this flight has been amazing. This is the best flight I have ever been on I am not kidding. Service is INCREDIBLE!,Satisfied
who is in charge of making decisions over there? cancelledling flight UA1150 was unacceptable. I should be in #Belize right now.,Flight Issue
the upgrade to first class was a nice way to fix your earlier mistake. Thank you!,Satisfied
Rhonda C. at Atlanta airport redeemed you guys. She got us straightened out.,Satisfied
great job losing one of my six bags on a direct flight.  Don't know how you manage to do it.,Luggage Issue
now been on board with no movement for 25 min...wow this experience just keeps getting worse and worse,Flight Issue
flight was cancelled due to mechanical issues but when I ask for cab fare they say it was weather and can't help me,Flight Issue
"Hi there, looks like my connection is delayed too so I'll make it. Thanks!",Satisfied
cldnt be happier w the many plastic wing pins given to me on flight 494. I love them! Amazing staff! So nice http://t.co/CbV7f3KBKx,Satisfied
ROC flight cancelled. Love my snowy drive home with no useful substitutes,Flight Issue
flight just cancelled. This is ridiculous,Flight Issue
thanks for the reply.  If you can get me a better seat on my next leg to Munich. That would be nice.,Satisfied
4 of us are stranded   And flying from New Orleans to Huston tonight and we will be stuck there for two days. Rather fly than wait.,Flight Issue
thank you for taking care of my mom and reFlight Booking Problems her flight in phl.,Satisfied
stuck in DC trying to get to Denver. The engine shut down twice on us at the terminal. Got any available flights for me?,Flight Issue
"Ill check it out, appreciate the response, regardless.",Satisfied
yes 1427 cancelled. Moved to 333. I'll figure out car rental changes and such.,Flight Issue
1632 was phenomenal frm gate (SEA) to gate (IAD),Satisfied
. Thanks. Hopefully this is easily resolved.,Satisfied
terrible travel experience. Traveled 8000 miles roundtrip but two cancelledlations of short hops cost me two days,Flight Issue
my flight from MCO has been delayed &amp; scheduled to arrive after my connection departs. What options do I have?,Flight Issue
. DAY to IAD and CVG to IAD both cancelled by United but all other airlines operating. Friend stuck and now miss intl flight. Help?,Flight Issue
I will. Thanks.,Satisfied
They finally gave in a let him on. After they threatened to send him back to Vegas on coach. Thnx.,Satisfied
"gave me a smile today, with a Zero Award... ;-) Computers have some sense of humour :-) http://t.co/JNqNbk7HuT",Satisfied
can anyone assure me that the aircraft coming to Denver had left it's previous destination? Flight 3618,Flight Issue
"we are delayed in San Pedro, Belize. We are scheduled to fly out at 3pm from Belize City to Houston. Will you wait please?",Flight Issue
UNBELIEVABLY DISAPPOINTED. DELAY AFTER DELAY. STOP MESSING WITH MY LIFE.,Flight Issue
I'm on snowy roads to BWI. I Just called MileagePlus &amp; told flight was cancelleded 1 1/2 hours ago. I rcvd no notification. Pls help,Flight Issue
"remember in business, a pleasant experience, means you will tell a friend. A bad experience means you will tell everyone you see",Flight Issue
U BUMS HOW DO U LOSE THE BIGGEST BAG ON THE FLIGHT,Luggage Issue
"although, I am stranded in Chicago O'Hare for another 8 hours. Any chance your cracker-jack service team could provide a meal?",Flight Issue
"All flights Cancelled Flighted :( Trip refunded without difficulty, staff extremely helpful, no complaints! Way to handle bad weather!",Satisfied
14 hours after landing in #ATL &amp; I still do not have my bags...which means no clothes or makeup!!! #UnitedAirlines #nothappy,Luggage Issue
this is not true. Gate agents 100% caused this. And we're not helpful. Thanks for making me miss connection!! http://t.co/xAIzW2isml,Flight Issue
it's my 21st birthday and my sister is coming to celebrate but her flights keep cancelleding PLZ do all you can to get her here!!!!,Flight Issue
what's the hold up with flight 6475 from SLC to DEN??,Flight Issue
DEN-PHX flight tomorrow cancelleded. Asked for overnight 2nite in LAX/SNA. Told not without paying. That's wrong,Flight Issue
thank you for the help!!,Satisfied
Why do I still not have my bags? They arrived  &amp;website says they're still at the airport..2 1/2 hours Late Flightr???!! #nothappy,Luggage Issue
bags arrived - I sure miss the customer focused days when I used to fly  Here's hoping  wakes up,Luggage Issue
you're good. Thank you!,Satisfied
"Wasn't frustrating! Well, not in any way reLate Flightd to y'all, anyway. Impressed that I made it.",Satisfied
"oh, the Wi-Fi router is on top of the fuselage! ;)",Satisfied
"come on, reopen 1285 at ORD and clear your growing DC backlog",Flight Issue
"Rebooked,arrived 8 hours Late Flightr.  Last year 9 hrs to San Diego and the no inflight entertainment!",Flight Issue
lost bag in Huston we leave for a Bahamas cruise today from #nola and had to buy all new stuff. Customer service is non existent,Luggage Issue
Very impressed so far. An app that's worth a damn and sms updates on my flight.,Satisfied
3 hours of sitting in the plane that hasn't left the Gate yet. 6 more hours of actual flying left.,Flight Issue
My flight was cancelleded and I'm needing some help reFlight Booking Problems.,Flight Issue
"thank you.
It's my daughters 13th bd party w/proj. weather cond, it doesn't look promising.
Please assist with earlier flts to Cmh?",Satisfied
"if you're going to cancelled flights today, do everyone a favor and get on it now. Don't stall the inevitable.",Flight Issue
your plane's been waiting at the Gate for two hours with all passengers onboard in their cramped seats. Yuck.,Flight Issue
Flight UA1665 got delayed 2 hours due to a mechanical issue...could use a free drink or 3 to make up for this inconvenience,Flight Issue
": ""Left gate 5 minutes early."" 
My thoughts: ""That doesn't count if you sit on the Tarmac for a half hour."" #comeonpeople",Flight Issue
will the kudos to capt. Herman be relayed to his chief pilot or should I be emailing someone?,Satisfied
on flight 1665 but it's not departing! Website says delayed due to operational difficulties-what does that mean?,Flight Issue
terrible illogical re-route after Cancelled Flightled connection. Then made me pay to check bag. Then lost bag. #ual,Luggage Issue
I already follow you. One of you 800-number agents rebooked me. Went from a 777 to an a320. Ugh.,Flight Issue
good job at CLE .. TPA on schedule ... 4 to 5 inches of snow ! http://t.co/9tbsJquw41,Satisfied
never fails to have delayed flights 😡,Flight Issue
"Yes, myself and about 200 other people also.",Flight Issue
is #ELP Friendly. #flyerfriendly #united #emb145 #elpaso http://t.co/9mEOzBO4xl,Satisfied
